Sat.A1Gregorian            Sat.EarthICRF.X           Sat.EarthICRF.Y           Sat.EarthICRF.Z           Sat.EarthICRF.VX          Sat.EarthICRF.VY          Sat.EarthICRF.VZ          
01 Jan 2000 14:37:00.034   -5097.961236719947        -3494.214973348095        -3494.215555948756        5.267699151317662         -3.694421987306392        -3.694421556060948        
01 Jan 2000 14:38:00.034   -4771.88142071635         -3708.720461860727        -3708.721017436384        5.598200989377339         -3.453214631367263        -3.453214162008626        
01 Jan 2000 14:39:00.034   -4426.602577172979        -3908.303171846778        -3908.303698162104        5.90743571828494          -3.197134430922369        -3.197133925192404        
01 Jan 2000 14:40:00.034   -4063.441814785668        -4092.096295587748        -4092.09679051656         6.194042781836702         -2.927044179005245        -2.927043638799674        
01 Jan 2000 14:41:00.034   -3683.796222234234        -4259.286716552288        -4259.28717808666         6.456717750018172         -2.64387074256129         -2.643870169925678        
01 Jan 2000 14:42:00.034   -3289.139314551753        -4409.118842803014        -4409.119269062128        6.694218580558921         -2.348604648145793        -2.348604045270903        
01 Jan 2000 14:43:00.034   -2881.01709323633         -4540.898406648925        -4540.898795887633        6.905372229567559         -2.042299362921549        -2.04229873213804         
01 Jan 2000 14:44:00.034   -2461.043699806469        -4653.996210780441        -4653.996561397477        7.089081588103561         -1.726070221416313        -1.726069565188723        
01 Jan 2000 14:45:00.034   -2030.896644188149        -4747.851798128014        -4747.852108673829        7.244332711465493         -1.401092947845984        -1.401092268765969        
01 Jan 2000 14:46:00.034   -1592.311591635849        -4821.977019675369        -4821.977288859538        7.370202297165513         -1.068601724021245        -1.068601024800045        
01 Jan 2000 14:47:00.034   -1147.076694871631        -4875.959471490641        -4875.959698188791        7.465865356132644         -0.7298867540756362       -0.7298860375357226
