time		x_position		y_position		z_position		x_velocity		y_velocity		z_velocity
92995439.5439544 140372743.29513606 -51746603.39222434 0.0 10.299661139003602 27.96203470721486 0.0
93008050.80508052 140502192.331537 -51393804.10363032 0.0 10.229446449231629 27.987818324005204 0.0
93020662.06620663 140630755.46412063 -51040680.76338718 0.0 10.159167124609265 28.013425519682325 0.0
93033273.32733274 140758431.88055807 -50687235.59741338 0.0 10.088823608950516 28.03885613176818 0.0
93045884.58845884 140885220.77412012 -50333470.83366935 0.0 10.01841634648009 28.06410999890391 0.0
93058495.84958495 141011121.34368235 -49979388.70214338 0.0 9.94794578183054 28.089186960850896 0.0
93071107.11071107 141136132.7937302 -49624991.434837505 0.0 9.87741236003945 28.114086858491813 0.0
93083718.37183718 141260254.33436427 -49270281.26575337 0.0 9.806816526546578 28.13880953383165 0.0
93096329.6329633 141383485.18130514 -48915260.43087805 0.0 9.736158727191011 28.163354829998752 0.0
93108940.89408942 141505824.55589852 -48559931.168169886 0.0 9.665439408208323 28.18772259124582 0.0
93121552.15521553 141627271.68512022 -48204295.717544265 0.0 9.594659016227734 28.211912662950947 0.0
93134163.41634163 141747825.80158105 -47848356.32085949 0.0 9.523817998269234 28.23592489161861 0.0
93146774.67746775 141867486.1435317 -47492115.221902505 0.0 9.452916801740757 28.259759124880667 0.0
93159385.93859386 141986251.95486778 -47135574.666374676 0.0 9.381955874435306 28.283415211497363 0.0
93171997.19971997 142104122.48513442 -46778736.90187763 0.0 9.310935664528088 28.30689300135829 0.0
93184608.46084608 142221096.98953137 -46421604.17789888 0.0 9.23985662057367 28.330192345483386 0.0
93197219.7219722 142337174.72891745 -46064178.745797694 0.0 9.168719191503103 28.353313096023896 0.0
93209830.98309831 142452354.96981546 -45706462.85879071 0.0 9.09752382662105 28.376255106263333 0.0
93222442.24422443 142566636.98441687 -45348458.771937735 0.0 9.026270975602927 28.399018230618427 0.0
93235053.50535055 142680020.05058643 -44990168.74212741 0.0 8.954961088492023 28.421602324640084 0.0
93247664.76647665 142792503.45186675 -44631595.02806289 0.0 8.88359461569663 28.444007245014312 0.0
93260276.02760276 142904086.4774831 -44272739.89024755 0.0 8.812172007987153 28.466232849563173 0.0
93272887.28872888 143014768.42234764 -43913605.59097063 0.0 8.740693716493249 28.48827899724569 0.0
93285498.549855 143124548.58706412 -43554194.3942929 0.0 8.669160192700936 28.51014554815876 0.0
93298109.8109811 143233426.27793244 -43194508.56603233 0.0 8.597571888449696 28.5318323635381 0.0
93310721.07210721 143341400.8069529 -42834550.37374966 0.0 8.525929255929611 28.55333930575911 0.0
93323332.33323333 143448471.4918306 -42474322.08673409 0.0 8.454232747678455 28.574666238337777 0.0
93335943.59435944 143554637.65598008 -42113825.97598883 0.0 8.382482816578811 28.595813025931587 0.0
93348554.85548554 143659898.62852928 -41753064.31421675 0.0 8.310679915855177 28.616779534340377 0.0
93361166.11661166 143764253.74432412 -41392039.375805944 0.0 8.23882449907106 28.637565630507225 0.0
93373777.37773778 143867702.34393266 -41030753.43681529 0.0 8.166917020126093 28.658171182519308 0.0
93386388.63886389 143970243.77364925 -40669208.77496005 0.0 8.09495793325312 28.678596059608772 0.0
93398999.89999 144071877.3854987 -40307407.6695974 0.0 8.0229476930153 28.69884013215356 0.0
93411611.16111612 144172602.5372407 -39945352.401712 0.0 7.950886754303203 28.718903271678283 0.0
93424222.42224222 144272418.59237364 -39583045.2539015 0.0 7.878775572331895 28.73878535085504 0.0
93436833.68336834 144371324.92013872 -39220488.51036207 0.0 7.8066146026380325 28.758486243504247 0.0
93449444.94449444 144469320.89552408 -38857684.45687394 0.0 7.734404301076955 28.778005824595468 0.0
93462056.20562056 144566405.89926884 -38494635.38078685 0.0 7.662145123819761 28.797343970248217 0.0
93474667.46674667 144662579.31786686 -38131343.57100559 0.0 7.589837527350403 28.81650055773277 0.0
93487278.72787279 144757840.5435709 -37767811.31797548 0.0 7.517481968462755 28.835475465470964 0.0
93499889.9889989 144852188.97439635 -37404040.913667805 0.0 7.445078904257709 28.854268573036997 0.0
93512501.25012502 144945624.01412517 -37040034.65156531 0.0 7.3726287921402385 28.872879761158188 0.0
93525112.51125114 145038145.07230967 -36675794.82664766 0.0 7.300132089816481 28.891308911715775 0.0
93537723.77237725 145129751.56427625 -36311323.73537683 0.0 7.227589255290811 28.90955590774568 0.0
93550335.03350335 145220442.9111292 -35946623.675682604 0.0 7.155000746862909 28.927620633439275 0.0
93562946.29462945 145310218.5397545 -35581696.946947955 0.0 7.08236702312483 28.945502974144105 0.0
93575557.55575557 145399077.8828233 -35216545.84999448 0.0 7.009688542958077 28.963202816364685 0.0
93588168.81688169 145487020.37879556 -34851172.68706781 0.0 6.93696576553066 28.980720047763196 0.0
93600780.0780078 145574045.4719239 -34485579.76182297 0.0 6.864199150294163 28.998054557160238 0.0
93613391.33913392 145660152.61225674 -34119769.37930979 0.0 6.791389156980807 29.015206234535544 0.0
93626002.60026003 145745341.25564227 -33753743.84595831 0.0 6.718536245600501 29.032174971028702 0.0
93638613.86138615 145829610.86373162 -33387505.469564084 0.0 6.645640876437916 29.048960658939876 0.0
93651225.12251227 145912960.90398243 -33021056.559273604 0.0 6.572703510049526 29.065563191730472 0.0
93663836.38363835 145995390.84966224 -32654399.425569605 0.0 6.499724607260669 29.081982464023866 0.0
93676447.64476447 146076900.17985183 -32287536.38025643 0.0 6.4267046291625975 29.098218371606077 0.0
93689058.90589058 146157488.37944862 -31920469.736445356 0.0 6.353644037109532 29.11427081142644 0.0
93701670.1670167 146237154.93916988 -31553201.808539912 0.0 6.280543292715708 29.13013968159829 0.0
93714281.42814282 146315899.35555616 -31185734.91222122 0.0 6.207402857852423 29.145824881399623 0.0
93726892.68926893 146393721.1309742 -30818071.36443327 0.0 6.134223194645079 29.161326311273726 0.0
93739503.95039505 146470619.77362055 -30450213.483368248 0.0 6.061004765470235 29.176643872829878 0.0
93752115.21152116 146546594.79752427 -30082163.588451806 0.0 5.987748032952638 29.19177746884393 0.0
93764726.47264728 146621645.7225503 -29713924.000328362 0.0 5.914453459962272 29.20672700325899 0.0
93777337.73377337 146695772.0744026 -29345497.040846366 0.0 5.841121509611391 29.221492381186017 0.0
93789948.99489948 146768973.38462692 -28976885.033043575 0.0 5.76775264525156 29.236073508904447 0.0
93802560.2560256 146841249.1906141 -28608090.301132303 0.0 5.6943473304706895 29.250470293862808 0.0
93815171.51715171 146912599.03560275 -28239115.170484684 0.0 5.620906029090067 29.26468264467931 0.0
93827782.77827783 146983022.46868238 -27869961.967617914 0.0 5.547429205161391 29.27871047114247 0.0
93840394.03940395 147052519.04479617 -27500633.020179484 0.0 5.4739173229638025 29.292553684211665 0.0
93853005.30053006 147121088.32474393 -27131130.65693241 0.0 5.400370847000914 29.306212196017718 0.0
93865616.56165618 147188729.87518474 -26761457.207740474 0.0 5.326790241997838 29.319685919863495 0.0
93878227.82278228 147255443.26863998 -26391615.003553405 0.0 5.253175972898204 29.332974770224443 0.0
93890839.08390838 147321228.08349583 -26021606.376392122 0.0 5.179528504861203 29.346078662749164 0.0
93903450.3450345 147386083.90400594 -25651433.65933392 0.0 5.10584830325859 29.358997514259954 0.0
93916061.60616061 147450010.3202945 -25281099.18649766 0.0 5.032135833671718 29.371731242753345 0.0
93928672.86728673 147513006.92835832 -24910605.29302896 0.0 4.958391561888554 29.38427976740064 0.0
93941284.12841284 147575073.33006972 -24539954.315085392 0.0 4.884615953900703 29.39664300854846 0.0
93953895.38953896 147636209.13317913 -24169148.589821637 0.0 4.810809475900414 29.40882088771922 0.0
93966506.65066507 147696413.9513174 -23798190.455374654 0.0 4.736972594277614 29.420813327611683 0.0
93979117.91179119 147755687.40399846 -23427082.25084886 0.0 4.663105775616906 29.432620252101437 0.0
93991729.17291729 147814029.1166216 -23055826.31630126 0.0 4.589209486694591 29.444241586241404 0.0
94004340.4340434 147871438.720474 -22684424.99272663 0.0 4.515284194475683 29.45567725626232 0.0
94016951.69516951 147927915.8527329 -22312880.62204262 0.0 4.441330366110913 29.46692718957322 0.0
94029562.95629562 147983460.15646827 -21941195.547074914 0.0 4.367348468933745 29.477991314761912 0.0
94042174.21742174 148038071.28064469 -21569372.111542374 0.0 4.293338970457377 29.48886956159544 0.0
94054785.47854786 148091748.8801239 -21197412.66004213 0.0 4.219302338371759 29.499561861020535 0.0
94067396.73967397 148144492.61566684 -20825319.53803473 0.0 4.145239040540592 29.51006814516408 0.0
94080008.00080009 148196302.15393594 -20453095.091829248 0.0 4.071149544998333 29.520388347333547 0.0
94092619.26192619 148247177.16749713 -20080741.668568376 0.0 3.997034319947201 29.530522402017414 0.0
94105230.5230523 148297117.33482203 -19708261.616213545 0.0 3.9228938337541814 29.54047024488562 0.0
94117841.78417842 148346122.34029 -19335657.28353003 0.0 3.8487285549480235 29.550231812789963 0.0
94130453.04530454 148394191.87419012 -18962931.02007201 0.0 3.774538952216245 29.559807043764515 0.0
94143064.30643064 148441325.6327232 -18590085.176167686 0.0 3.7003254944021298 29.56919587702604 0.0
94155675.56755675 148487523.31800374 -18217122.10290435 0.0 3.6260886505017242 29.578398252974377 0.0
94168286.82868287 148532784.6380618 -17844044.152113464 0.0 3.551828889660839 29.587414113192818 0.0
94180898.08980899 148577109.3068449 -17470853.67635574 0.0 3.4775466811720435 29.59624340044852 0.0
94193509.3509351 148620497.0442198 -17097553.028906193 0.0 3.4032424944716593 29.604886058692845 0.0
94206120.6120612 148662947.57597438 -16724144.563739214 0.0 3.328916799136759 29.61334203306175 0.0
94218731.87318732 148704460.63381934 -16350630.635513633 0.0 3.2545700648821554 29.621611269876116 0.0
94231343.13431343 148745035.95538992 -15977013.59955777 0.0 3.1802027615573953 29.62969371664214 0.0
